FAB,TableID,TableName,TableType,WeeklyCycle,MonthCycle,YearCycle,TableEnable,UserID
08AB,001,001,物管安全諸存室設施定期查檢表,1,2,3,4,5,0,0,True,
08AB,08AB,08AB_物管機具檢查記錄表(月),物管機具檢查記錄表（月）,1,2,3,4,5,8,33,13,True,00017299
08AB,08AB01,08AB_醫藥箱檢查表,醫藥箱自動檢查表(日),1,2,3,4,5,0,0,True,andy
08AB,08AB02,08AB_安全防護用具自動檢查表,安全防護用具自動檢查表(月),1,2,3,4,5,0,0,True,
08AB,A01,測試A01,aaaa,1,2,3,4,5,0,0,True,
08AB,few,fefew,物管安全諸存室設施定期查檢表,5,4,3,True,
08AB,test,test,安全防護用具自動檢查表(月),1,2,3,4,5,0,0,True,
08AB,test2,test2,安全防護用具自動檢查表(月),1,2,3,4,5,0,0,True,
08C1,08C1,08C1_倉管氣體儲存區檢查記錄表,倉管氣體儲存區檢查記錄表,1,2,3,4,5,17,01,02,03,04,05,06,07,08,09,10,11,12,True,tom
08C1,08C1_01,08C1_物管安全諸存室設施定期查檢表,物管安全諸存室設施定期查檢表,1,2,3,4,5,0,2,True,Robert
08C1,08C1_03,08C1_倉管儲存區檢查記錄表,倉管儲存區檢查記錄表,1,2,3,4,5,0,0,True,Robert
08C1,08C1_04,08C1_物管機具檢查記錄表(月),物管機具檢查記錄表（月）,1,2,3,4,5,01,01,True,tom
08C1,08C1_05,08C1物管機具檢查記錄表(年),物管機具檢查記錄表（年）,0,0,0,True,
